Date,Value
2017-11-09,15.79
2017-11-10,15.04
2017-11-11,15.39
2017-11-12,18.01
2017-11-13,16.6
2017-11-14,16.7
2017-11-15,17.41
2017-11-16,16.02
2017-11-17,16.41
2017-11-18,13.34
2017-11-19,14.23
2017-11-20,16.09
2017-11-21,17.55
2017-11-22,16.47
2017-11-23,15.99
2017-11-24,15.46
2017-11-25,12.89
2017-11-26,14.95
2017-11-27,15.54
2017-11-28,16.78
2017-11-29,17.5
2017-11-30,16.35
2017-12-01,14.56
2017-12-02,13.18
2017-12-03,14.07
2017-12-04,21.96
2017-12-05,30.92
2017-12-06,42.12
2017-12-07,59.66
2017-12-08,61.1
2017-12-09,55.56
2017-12-10,43.57
2017-12-11,35.27
2017-12-12,38.37
2017-12-13,38.63
2017-12-14,41.79
2017-12-15,35.43
2017-12-16,35.3
2017-12-17,29.12
2017-12-18,27.44
2017-12-19,34.33
2017-12-20,41.56
2017-12-21,41.64
2017-12-22,40.79
2017-12-23,33.29
2017-12-24,30.23
2017-12-25,26.11
2017-12-26,25.93
2017-12-27,25.11
2017-12-28,24.13
2017-12-29,25.03
2017-12-30,24.16
2017-12-31,24.71
2018-01-01,23.31
2018-01-02,26.32
2018-01-03,27.92
2018-01-04,33.36
2018-01-05,84.46
2018-01-06,95.79
2018-01-07,74.59
2018-01-08,73.64
2018-01-09,76.79
2018-01-10,95.44
2018-01-11,82.6
2018-01-12,60.01
2018-01-13,63.72
2018-01-14,58.4
2018-01-15,53.86
2018-01-16,54.78
2018-01-17,52.11
2018-01-18,53.75
2018-01-19,51.16
2018-01-20,51.09
2018-01-21,40.36
2018-01-22,33.8
2018-01-23,39.25
2018-01-24,37.65
2018-01-25,33.57
2018-01-26,28.11
2018-01-27,27.55
2018-01-28,27.8
2018-01-29,37.03
2018-01-30,30.08
2018-01-31,29.4
2018-02-01,40.44
2018-02-02,35.39
2018-02-03,29.3
2018-02-04,29.03
2018-02-05,26.87
2018-02-06,27.96
2018-02-07,26.69
2018-02-08,24.97
2018-02-09,22.86
2018-02-10,23.84
2018-02-11,21.9
2018-02-12,20.82
2018-02-13,21.68
2018-02-14,22.5
2018-02-15,21.57
2018-02-16,21.59
2018-02-17,21.84
2018-02-18,23.12
2018-02-19,19.91
2018-02-20,20.25
2018-02-21,19.36
2018-02-22,17.9
2018-02-23,18.83
2018-02-24,19.38
2018-02-25,16.76
2018-02-26,17.77
2018-02-27,17.89
2018-02-28,20.19
2018-03-01,18.47
2018-03-02,20.45
2018-03-03,16.32
2018-03-04,17.31
2018-03-05,19.64
2018-03-06,18.18
2018-03-07,19.77
2018-03-08,18.36
2018-03-09,17.75
2018-03-10,14.79
2018-03-11,13.8
2018-03-12,15.35
2018-03-13,13.21
2018-03-14,14.2
2018-03-15,14.35
2018-03-16,16.34
2018-03-17,12.25
2018-03-18,12.75
2018-03-19,13.09
2018-03-20,13.43
2018-03-21,14.14
2018-03-22,14.41
2018-03-23,15.62
2018-03-24,13.78
2018-03-25,13.54
2018-03-26,18.18
2018-03-27,14.36
2018-03-28,14.63
2018-03-29,15.64
2018-03-30,12.77
2018-03-31,11.48
2018-04-01,11.1
2018-04-02,12.13
2018-04-03,12.29
2018-04-04,10.97
2018-04-05,15.47
2018-04-06,13.58
2018-04-07,10.75
2018-04-08,10.49
2018-04-09,11.9
2018-04-10,12.19
2018-04-11,12.41
2018-04-12,13.47
2018-04-13,15.62
2018-04-14,12.18
2018-04-15,11.5
2018-04-16,11.89
2018-04-17,12.17
2018-04-18,14.29
2018-04-19,12.81
2018-04-20,12.53
2018-04-21,11.34
2018-04-22,11.66
2018-04-23,12.24
2018-04-24,14.32
2018-04-25,13.56
2018-04-26,14.27
2018-04-27,14.69
2018-04-28,17.58
2018-04-29,15.44
2018-04-30,16.26
2018-05-01,14.28
2018-05-02,14.72
2018-05-03,16.37
2018-05-04,14.7
2018-05-05,13.44
2018-05-06,13.67
2018-05-07,13.63
2018-05-08,16.2
2018-05-09,15.05
2018-05-10,18.43
2018-05-11,18.76
2018-05-12,13.47
2018-05-13,14.4
2018-05-14,18.39
2018-05-15,18.37
2018-05-16,18.3
2018-05-17,18.99
2018-05-18,18.72
2018-05-19,17.77
2018-05-20,16.9
2018-05-21,17.93
2018-05-22,19.4
2018-05-23,19.76
2018-05-24,18.51
2018-05-25,18.3
2018-05-26,15.82
2018-05-27,14.78
2018-05-28,21.32
2018-05-29,21.23
2018-05-30,21.43
2018-05-31,26.02
2018-06-01,22.28
2018-06-02,16.1
2018-06-03,15.44
2018-06-04,19.07
2018-06-05,17.19
2018-06-06,19.74
2018-06-07,16.98
2018-06-08,15.95
2018-06-09,12.62
2018-06-10,12.55
2018-06-11,13.95
2018-06-12,14.05
2018-06-13,14.42
2018-06-14,15.92
2018-06-15,16.8
2018-06-16,24.85
2018-06-17,11.23
2018-06-18,11.82
2018-06-19,14.43
2018-06-20,13.47
2018-06-21,13.05
2018-06-22,38.88
2018-06-23,14.03
2018-06-24,16.16
2018-06-25,15.64
2018-06-26,12.01
2018-06-27,12.45
2018-06-28,11.7
2018-06-29,12.12
2018-06-30,34.21
2018-07-01,59.84
2018-07-02,86.35
2018-07-03,82.06
2018-07-04,59.08
2018-07-05,48.72
2018-07-06,70.21
2018-07-07,60.24
2018-07-08,35.59
2018-07-09,25.83
2018-07-10,21.32
2018-07-11,19.05
2018-07-12,29.19
2018-07-13,29.85
2018-07-14,57.68
2018-07-15,48.22
2018-07-16,18.56
2018-07-17,17.55
2018-07-18,15.41
2018-07-19,13.03
2018-07-20,15.88
2018-07-21,15.83
2018-07-22,11.03
2018-07-23,15.55
2018-07-24,15.41
2018-07-25,13.35
2018-07-26,12.32
2018-07-27,10.75
2018-07-28,11.54
2018-07-29,9.257
2018-07-30,10.93
2018-07-31,11.02
2018-08-01,36.68
2018-08-02,10.2
2018-08-03,10.51
2018-08-04,9.925
2018-08-05,8.072
2018-08-06,12.54
2018-08-07,25.25
2018-08-08,57.4
2018-08-09,53.12
2018-08-10,34.48
2018-08-11,14.84
2018-08-12,10.98
2018-08-13,14.81
2018-08-14,16.05
2018-08-15,15.05
2018-08-16,12.64
2018-08-17,39.21
2018-08-18,16.11
2018-08-19,14.36
2018-08-20,12.43
2018-08-21,13.05
2018-08-22,17.02
2018-08-23,14.05
2018-08-24,21.5
2018-08-25,11.43
2018-08-26,16.11
2018-08-27,12.39
2018-08-28,12.81
2018-08-29,17.29
2018-08-30,13.56
2018-08-31,14.42
2018-09-01,11.04
2018-09-02,10.28
2018-09-03,12.11
2018-09-04,13.89
2018-09-05,12.61
2018-09-06,14.95
2018-09-07,14.73
2018-09-08,12.17
2018-09-09,12.54
2018-09-10,13.45
2018-09-11,15.68
2018-09-12,16.18
2018-09-13,16.65
2018-09-14,14.65
2018-09-15,13.26
2018-09-16,13.16
2018-09-17,15.41
2018-09-18,25.2
2018-09-19,19.87
2018-09-20,15.89
2018-09-21,18.24
2018-09-22,14.43
2018-09-23,13.14
2018-09-24,16.84
2018-09-25,16.97
2018-09-26,16.34
2018-09-27,16.74
2018-09-28,18.14
2018-09-29,21.87
2018-09-30,16.56
2018-10-01,18.94
2018-10-02,19.03
2018-10-03,13.25
2018-10-04,13.25
2018-10-05,13.57
2018-10-06,9.436
2018-10-07,11.77
2018-10-08,14.58
2018-10-09,12.98
2018-10-10,15.89
2018-10-11,15.39
2018-10-12,29.28
2018-10-13,11.59
2018-10-14,11.72
2018-10-15,15.63
2018-10-16,12.74
2018-10-17,13.44
2018-10-18,13.15
2018-10-19,13.7
2018-10-20,13.29
2018-10-21,12.03
2018-10-22,13.16
2018-10-23,14.52
2018-10-24,15.17
2018-10-25,16.01
2018-10-26,16.42
2018-10-27,14.14
2018-10-28,12.96
2018-10-29,14.94
2018-10-30,14.93
2018-10-31,14.9
2018-11-01,14.2
2018-11-02,15.18
2018-11-03,16.15
2018-11-04,13.06
2018-11-05,16.75
2018-11-06,17.33
2018-11-07,16.34
2018-11-08,18.89
2018-11-09,15.75
2018-11-10,12.03
2018-11-11,10.62
2018-11-12,14.37
2018-11-13,15.06
2018-11-14,17.42
2018-11-15,18.47
2018-11-16,16.12
2018-11-17,13.28
2018-11-18,14.9
2018-11-19,17.03
2018-11-20,17.96
2018-11-21,15.27
2018-11-22,15.01
2018-11-23,15.81
2018-11-24,15.42
2018-11-25,16.31
2018-11-26,16.32
2018-11-27,14.68
2018-11-28,16.29
2018-11-29,20.35
2018-11-30,22.65
2018-12-01,17.36
2018-12-02,15.74
2018-12-03,17.35
2018-12-04,17.19
2018-12-05,17.71
2018-12-06,16.36
2018-12-07,16.59
2018-12-08,12.33
2018-12-09,11.99
2018-12-10,13.94
2018-12-11,14.8
2018-12-12,14.46
2018-12-13,17.61
2018-12-14,29.18
2018-12-15,12.75
2018-12-16,11.78
2018-12-17,13.82
2018-12-18,31.67
2018-12-19,15.9
2018-12-20,15.78
2018-12-21,15.82
2018-12-22,14.02
2018-12-23,14.62
2018-12-24,16.61
2018-12-25,14.77
2018-12-26,24.48
2018-12-27,13.53
2018-12-28,14.15
2018-12-29,12.98
2018-12-30,15.84
2018-12-31,13.84
2019-01-01,14.33
2019-01-02,13.52
2019-01-03,12.7
2019-01-04,14.2
2019-01-05,24.12
2019-01-06,13.44
2019-01-07,15.73
2019-01-08,13.68
2019-01-09,13.53
2019-01-10,15.36
2019-01-11,13.63
2019-01-12,12.18
2019-01-13,12.3
2019-01-14,19.18
2019-01-15,18.4
2019-01-16,20.63
2019-01-17,13.64
2019-01-18,14.39
2019-01-19,12.43
2019-01-20,12.39
