,ds,yhat,yhat_lower,yhat_upper,y,cutoff
540,2022-10-15,23.983794523177476,-35.912004470847194,81.89048338234974,19.68,2022-10-14
541,2022-10-16,21.964151961455073,-37.7473116261806,79.07701145991999,17.82,2022-10-15
542,2022-10-17,28.67947654655275,-28.59979784289886,84.79660721848443,27.65,2022-10-16
543,2022-10-18,29.900714829581627,-25.51544119337907,89.84799292355093,29.22,2022-10-17
544,2022-10-19,32.780873919414475,-25.35141824128523,90.83314306676245,33.13,2022-10-18
545,2022-10-20,35.73560335628171,-19.573440441813318,94.08211518740026,35.37,2022-10-19
546,2022-10-21,30.7068586872052,-28.35764837874025,89.59718406259661,34.34,2022-10-20
547,2022-10-22,25.737331835694867,-37.668921229728674,82.00839637882281,21.91,2022-10-21
548,2022-10-23,24.052668131736,-33.86825306805735,80.83240630387122,17.54,2022-10-22
549,2022-10-24,31.277009736494115,-28.006927039863765,88.57726311966115,23.55,2022-10-23
550,2022-10-25,32.5860083459198,-26.974252547792265,92.45529655456386,25.76,2022-10-24
551,2022-10-26,34.725685675261516,-24.433428549919192,92.44583094304211,23.44,2022-10-25
552,2022-10-27,37.25740622319974,-22.541486813500594,94.86811413064405,19.87,2022-10-26
553,2022-10-28,31.13120921090924,-30.511606927584797,86.35445251052344,20.19,2022-10-27
554,2022-10-29,25.7135022724427,-33.01450160803735,86.09815675965648,16.85,2022-10-28
555,2022-10-30,23.128055963186206,-34.99997682660041,86.75425840125294,11.95,2022-10-29
556,2022-10-31,30.221889785405033,-25.977486473539397,86.68259250220189,23.93,2022-10-30
557,2022-11-01,30.91240352608134,-27.210981835146026,88.63120236043792,18.52,2022-10-31
558,2022-11-02,32.186550513884086,-26.218173336958305,88.89524749154843,21.23,2022-11-01
559,2022-11-03,34.51096968899914,-24.357329809221266,94.27577219524362,33.66,2022-11-02
560,2022-11-04,27.82711685077967,-30.961011541014624,86.45825386937297,23.53,2022-11-03
561,2022-11-05,22.022879390188848,-35.146487001056336,84.00557738730733,15.61,2022-11-04
562,2022-11-06,20.32373704704412,-39.10389267681785,78.9512869615219,15.6,2022-11-05
563,2022-11-07,26.15734236534483,-33.28373272532334,89.04960025044825,22.12,2022-11-06
564,2022-11-08,26.21124524720121,-31.64112905434856,88.93655202488175,56.99,2022-11-07
565,2022-11-09,29.338592897546736,-29.049265114934105,89.02756278334125,61.05,2022-11-08
566,2022-11-10,31.18263846662815,-28.391566743438826,90.02834890625807,43.17,2022-11-09
567,2022-11-11,25.900296596224226,-27.959880553831393,89.56437355606629,29.64,2022-11-10
568,2022-11-12,19.36645705980036,-37.99499213138234,78.63832084993025,20.45,2022-11-11
569,2022-11-13,18.430956911378104,-40.58002912559445,78.83743160292833,20.23,2022-11-12
570,2022-11-14,25.920033431270834,-28.5544637039495,86.88071563502558,24.19,2022-11-13
571,2022-11-15,26.891203792941916,-29.32536726280708,86.09710191364137,23.9,2022-11-14
572,2022-11-16,28.503823099035888,-28.71322432645532,82.04929333268458,21.84,2022-11-15
573,2022-11-17,31.646676881985513,-28.20091907855596,87.22922846864464,23.17,2022-11-16
574,2022-11-18,25.759737058004575,-35.97030858827176,83.80303795899846,18.79,2022-11-17
575,2022-11-19,21.10888057022704,-37.91812105186304,79.81637491741004,16.21,2022-11-18
576,2022-11-20,19.64661066224353,-42.93110658641406,74.98705010681023,16.27,2022-11-19
577,2022-11-21,27.231489129492466,-31.33292397997335,84.2540922469466,17.63,2022-11-20
578,2022-11-22,28.537033799926213,-28.67463668375824,89.83757988361836,19.35,2022-11-21
579,2022-11-23,31.595325966425854,-29.80213745772833,88.02290126476319,16.84,2022-11-22
580,2022-11-24,33.64227829818304,-25.37560594636727,88.39888379902249,15.76,2022-11-23
581,2022-11-25,28.482366258852185,-30.663929688135568,89.90903123873994,14.24,2022-11-24
582,2022-11-26,22.84761139660861,-37.68438071268417,82.49046901607211,13.58,2022-11-25
583,2022-11-27,21.849685295210527,-39.241249814022126,79.13629812979423,13.38,2022-11-26
584,2022-11-28,28.603869828898638,-32.14759173655671,89.13177118509395,17.83,2022-11-27
585,2022-11-29,29.82886362885578,-27.64994606207896,90.54147902568378,14.87,2022-11-28
586,2022-11-30,31.498495901114268,-30.06970303992373,94.25699412750052,16.57,2022-11-29
587,2022-12-01,33.73647775189235,-28.284619088524124,93.56345413400106,16.79,2022-11-30
